House ID,Price
501,119382.53
502,114101.85
503,128995.516
504,104678.61
505,108251.83
506,105893.95
507,112182.01
508,142817.14
509,143550.28
510,179621.78
511,129957.09
512,157062.86
513,186450.86
514,116143.93
515,150957.23
516,138913.2
517,120444.48
518,120620.484
519,142498.61
520,168655.95
521,140695.48
522,154525.14
523,131913.08
524,158773.7
525,116864.766
526,115005.97
527,172731.69
528,138040.73
529,177992.78
530,158780.36
531,163162.64
532,134977.27
533,143199.39
534,146473.1
535,128957.43
