House ID,Price
501,146880.98
502,139680.17
503,152664.03
504,130086.36
505,127380.58
506,115209.17
507,142799.62
508,141984.61
509,157537.77
510,101493.45
511,108970.69
512,109433.24
513,158196.3
514,150810.23
515,127365.984
516,134200.72
517,140526.25
518,131078.22
519,124914.18
520,152885.55
521,151663.77
522,125221.3
523,167560.02
524,140874.56
525,153081.3
526,123169.625
527,122818.99
528,141915.36
529,139696.92
530,159294.69
531,115056.51
532,132978.9
533,138088.64
534,145295.48
535,141743.36
