House ID,Price
501,156807.6
502,162084.94
503,140574.72
504,109003.33
505,127294.83
506,143043.88
507,150492.81
508,147580.56
509,119623.66
510,134767.6
511,113033.78
512,126999.92
513,190784.19
514,131443.58
515,135165.67
516,142360.62
517,147554.19
518,164029.22
519,166310.7
520,155609.69
521,134922.03
522,129783.33
523,153871.03
524,220287.48
525,131714.78
526,96271.375
527,133348.89
528,159795.4
529,158472.98
530,208525.53
531,127668.72
532,162726.67
533,181494.9
534,139248.75
535,142293.39
